preamble,stimulus,is_correct,subject,stimulus_prob
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) 2P(t > 1.54) with df = 6 (C) P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 7. Of the answer choices above, answer (A) is the",best,0,high_school_statistics,[-0.9459018707275391]
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) 2P(t > 1.54) with df = 6 (C) P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 7. Of the answer choices above, answer (B) is the",best,1,high_school_statistics,[-1.0107879638671875]
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) 2P(t > 1.54) with df = 6 (C) P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 7. Of the answer choices above, answer (C) is the",best,0,high_school_statistics,[-1.002899169921875]
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) 2P(t > 1.54) with df = 6 (C) P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 7. Of the answer choices above, answer (D) is the",best,0,high_school_statistics,[-1.019754409790039]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 25.3 to 44.7 minutes (C) 31.7 to 39.3 minutes (D) 25.3 to 35 minutes. Of the answer choices above, answer (A) is the",best,0,high_school_statistics,[-1.902618408203125]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 25.3 to 44.7 minutes (C) 31.7 to 39.3 minutes (D) 25.3 to 35 minutes. Of the answer choices above, answer (B) is the",best,1,high_school_statistics,[-2.089427947998047]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 25.3 to 44.7 minutes (C) 31.7 to 39.3 minutes (D) 25.3 to 35 minutes. Of the answer choices above, answer (C) is the",best,0,high_school_statistics,[-1.984823226928711]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 25.3 to 44.7 minutes (C) 31.7 to 39.3 minutes (D) 25.3 to 35 minutes. Of the answer choices above, answer (D) is the",best,0,high_school_statistics,[-1.77734375]
"All of the following statements are true for all discrete random variables except for which one? (A) Approximately 95% of the outcomes will be within two standard deviations of the mean. (B) The possible outcomes must all be numerical. (C) The possible outcomes must be mutually exclusive. (D) The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.. Of the answer choices above, answer (A) is the",best,1,high_school_statistics,[-3.251100540161133]
"All of the following statements are true for all discrete random variables except for which one? (A) Approximately 95% of the outcomes will be within two standard deviations of the mean. (B) The possible outcomes must all be numerical. (C) The possible outcomes must be mutually exclusive. (D) The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.. Of the answer choices above, answer (B) is the",best,0,high_school_statistics,[-3.4807186126708984]
"All of the following statements are true for all discrete random variables except for which one? (A) Approximately 95% of the outcomes will be within two standard deviations of the mean. (B) The possible outcomes must all be numerical. (C) The possible outcomes must be mutually exclusive. (D) The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.. Of the answer choices above, answer (C) is the",best,0,high_school_statistics,[-3.3727989196777344]
"All of the following statements are true for all discrete random variables except for which one? (A) Approximately 95% of the outcomes will be within two standard deviations of the mean. (B) The possible outcomes must all be numerical. (C) The possible outcomes must be mutually exclusive. (D) The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.. Of the answer choices above, answer (D) is the",best,0,high_school_statistics,[-3.523885726928711]
