preamble,stimulus,is_correct,subject,stimulus_prob
"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC) filter. She had a hematoma that was resolving on discharge from the hospital 2 weeks ago. Today, she says she has had a persistent sensation of tingling and numbness of her left thigh that she did not report in the hospital because she thought it would go away; the sensation has improved somewhat during the past week. Her only medication is warfarin. Vital signs are within normal limits. Examination of the skin shows no abnormalities. Muscle strength is normal. Sensation to light touch is decreased over a 5 x 5-cm area on the lateral aspect of the left anterior thigh. Which of the following is the most likely cause of this patient's decreased sensation? (A) Compression of the lateral femoral cutaneous nerve (B) Cerebral infarction during the hospitalization (C) Complication of the IVC filter placement (D) Hematoma of the left thigh. Of the answer choices above, the best answer choice is (",A,1,professional_medicine,[-0.7547893524169922]
"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC) filter. She had a hematoma that was resolving on discharge from the hospital 2 weeks ago. Today, she says she has had a persistent sensation of tingling and numbness of her left thigh that she did not report in the hospital because she thought it would go away; the sensation has improved somewhat during the past week. Her only medication is warfarin. Vital signs are within normal limits. Examination of the skin shows no abnormalities. Muscle strength is normal. Sensation to light touch is decreased over a 5 x 5-cm area on the lateral aspect of the left anterior thigh. Which of the following is the most likely cause of this patient's decreased sensation? (A) Compression of the lateral femoral cutaneous nerve (B) Cerebral infarction during the hospitalization (C) Complication of the IVC filter placement (D) Hematoma of the left thigh. Of the answer choices above, the best answer choice is (",B,0,professional_medicine,[-1.9266643524169922]
"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC) filter. She had a hematoma that was resolving on discharge from the hospital 2 weeks ago. Today, she says she has had a persistent sensation of tingling and numbness of her left thigh that she did not report in the hospital because she thought it would go away; the sensation has improved somewhat during the past week. Her only medication is warfarin. Vital signs are within normal limits. Examination of the skin shows no abnormalities. Muscle strength is normal. Sensation to light touch is decreased over a 5 x 5-cm area on the lateral aspect of the left anterior thigh. Which of the following is the most likely cause of this patient's decreased sensation? (A) Compression of the lateral femoral cutaneous nerve (B) Cerebral infarction during the hospitalization (C) Complication of the IVC filter placement (D) Hematoma of the left thigh. Of the answer choices above, the best answer choice is (",C,0,professional_medicine,[-1.7547893524169922]
"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC) filter. She had a hematoma that was resolving on discharge from the hospital 2 weeks ago. Today, she says she has had a persistent sensation of tingling and numbness of her left thigh that she did not report in the hospital because she thought it would go away; the sensation has improved somewhat during the past week. Her only medication is warfarin. Vital signs are within normal limits. Examination of the skin shows no abnormalities. Muscle strength is normal. Sensation to light touch is decreased over a 5 x 5-cm area on the lateral aspect of the left anterior thigh. Which of the following is the most likely cause of this patient's decreased sensation? (A) Compression of the lateral femoral cutaneous nerve (B) Cerebral infarction during the hospitalization (C) Complication of the IVC filter placement (D) Hematoma of the left thigh. Of the answer choices above, the best answer choice is (",D,0,professional_medicine,[-1.5829143524169922]
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most likely diagnosis is (A) hypotonic uterine dysfunction (B) Braxton Hicks contractions (C) lower uterine retraction ring (D) primary dysfunctional labor. Of the answer choices above, the best answer choice is (",A,1,professional_medicine,[-1.0397052764892578]
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most likely diagnosis is (A) hypotonic uterine dysfunction (B) Braxton Hicks contractions (C) lower uterine retraction ring (D) primary dysfunctional labor. Of the answer choices above, the best answer choice is (",B,0,professional_medicine,[-2.133455276489258]
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most likely diagnosis is (A) hypotonic uterine dysfunction (B) Braxton Hicks contractions (C) lower uterine retraction ring (D) primary dysfunctional labor. Of the answer choices above, the best answer choice is (",C,0,professional_medicine,[-1.8053302764892578]
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most likely diagnosis is (A) hypotonic uterine dysfunction (B) Braxton Hicks contractions (C) lower uterine retraction ring (D) primary dysfunctional labor. Of the answer choices above, the best answer choice is (",D,0,professional_medicine,[-1.0397052764892578]
"A 5-year-old boy is brought to the physician by his mother because of a 2-day history of a low-grade fever, cough, and runny nose. His temperature is 38°C (100.4°F). Examination findings are consistent with a diagnosis of a common cold. The physician refers to a randomized, double-blind, placebo-controlled clinical trial that evaluated the effectiveness of a new drug for the treatment of the common cold. The mean time for resolution of symptoms for patients receiving the new drug was 6.4 days, compared with a mean time of 6.7 days for patients receiving the placebo (p=0.04). Which of the following is the most appropriate interpretation of these study results? (A) The findings are clinically and statistically significant (B) The findings are clinically significant but statistically insignificant (C) The findings are neither clinically nor statistically significant (D) The findings are clinically insignificant but statistically significant. Of the answer choices above, the best answer choice is (",A,0,professional_medicine,[-0.7835407257080078]
"A 5-year-old boy is brought to the physician by his mother because of a 2-day history of a low-grade fever, cough, and runny nose. His temperature is 38°C (100.4°F). Examination findings are consistent with a diagnosis of a common cold. The physician refers to a randomized, double-blind, placebo-controlled clinical trial that evaluated the effectiveness of a new drug for the treatment of the common cold. The mean time for resolution of symptoms for patients receiving the new drug was 6.4 days, compared with a mean time of 6.7 days for patients receiving the placebo (p=0.04). Which of the following is the most appropriate interpretation of these study results? (A) The findings are clinically and statistically significant (B) The findings are clinically significant but statistically insignificant (C) The findings are neither clinically nor statistically significant (D) The findings are clinically insignificant but statistically significant. Of the answer choices above, the best answer choice is (",B,0,professional_medicine,[-1.2835407257080078]
