preamble,stimulus,is_correct,subject,stimulus_prob
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-15.764043807983398]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-15.764043807983398]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-15.764043807983398]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (D) is the",best,1,high_school_chemistry,[-15.764043807983398]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-18.397029876708984]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-18.397029876708984]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (C) is the",best,1,high_school_chemistry,[-18.397029876708984]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-18.397029876708984]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) covalent network bonding (B) ionic bonding (C) nonpolar covalent bonding (D) metallic bonding. Of the answer choices above, answer (A) is the",best,1,high_school_chemistry,[-21.865018844604492]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) covalent network bonding (B) ionic bonding (C) nonpolar covalent bonding (D) metallic bonding. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-21.865018844604492]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) covalent network bonding (B) ionic bonding (C) nonpolar covalent bonding (D) metallic bonding. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-21.865018844604492]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) covalent network bonding (B) ionic bonding (C) nonpolar covalent bonding (D) metallic bonding. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-21.865018844604492]
"The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is (A) Ag+(aq) + Br-(aq) → AgBr(s) (B) NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq) (C) Br-(aq) + NO3-(aq) → NO3Br(aq) (D) NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq). Of the answer choices above, answer (A) is the",best,1,high_school_chemistry,[-3.2558536529541016]
"The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is (A) Ag+(aq) + Br-(aq) → AgBr(s) (B) NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq) (C) Br-(aq) + NO3-(aq) → NO3Br(aq) (D) NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq). Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-2.7806739807128906]
"The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is (A) Ag+(aq) + Br-(aq) → AgBr(s) (B) NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq) (C) Br-(aq) + NO3-(aq) → NO3Br(aq) (D) NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq). Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-2.8464832305908203]
"The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is (A) Ag+(aq) + Br-(aq) → AgBr(s) (B) NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq) (C) Br-(aq) + NO3-(aq) → NO3Br(aq) (D) NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq). Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-2.8844823837280273]
"The symbol for antimony is (A) W (B) Fe (C) An (D) Sb. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-15.739025115966797]
"The symbol for antimony is (A) W (B) Fe (C) An (D) Sb. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-15.759502410888672]
"The symbol for antimony is (A) W (B) Fe (C) An (D) Sb. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-15.669660568237305]
"The symbol for antimony is (A) W (B) Fe (C) An (D) Sb. Of the answer choices above, answer (D) is the",best,1,high_school_chemistry,[-15.74936294555664]
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen? (A) 0.33 atm (B) 0.40 atm (C) 2.0 atm (D) 0.50 atm. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-1.984476089477539]
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen? (A) 0.33 atm (B) 0.40 atm (C) 2.0 atm (D) 0.50 atm. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-1.9370803833007812]
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen? (A) 0.33 atm (B) 0.40 atm (C) 2.0 atm (D) 0.50 atm. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-2.23720645904541]
