preamble,stimulus,is_correct,subject,stimulus_prob
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Media tour (D) Promotional days/weeks. Of the answer choices above, answer (A) is the",best,0,public_relations,[-16.27587890625]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Media tour (D) Promotional days/weeks. Of the answer choices above, answer (B) is the",best,0,public_relations,[-16.307117462158203]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Media tour (D) Promotional days/weeks. Of the answer choices above, answer (C) is the",best,1,public_relations,[-16.305164337158203]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Media tour (D) Promotional days/weeks. Of the answer choices above, answer (D) is the",best,0,public_relations,[-16.306140899658203]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Stop all sales of the product throughout the nation and issue a recall for that product. (B) Quickly investigate to make certain your product is definitely the cause of the illness. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (A) is the",best,1,public_relations,[-0.7888727188110352]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Stop all sales of the product throughout the nation and issue a recall for that product. (B) Quickly investigate to make certain your product is definitely the cause of the illness. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (B) is the",best,0,public_relations,[-0.8004999160766602]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Stop all sales of the product throughout the nation and issue a recall for that product. (B) Quickly investigate to make certain your product is definitely the cause of the illness. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (C) is the",best,0,public_relations,[-0.7785158157348633]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Stop all sales of the product throughout the nation and issue a recall for that product. (B) Quickly investigate to make certain your product is definitely the cause of the illness. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (D) is the",best,0,public_relations,[-1.0393562316894531]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) consumer relations (B) community relations (C) employee relations (D) public issues. Of the answer choices above, answer (A) is the",best,1,public_relations,[-16.070838928222656]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) consumer relations (B) community relations (C) employee relations (D) public issues. Of the answer choices above, answer (B) is the",best,0,public_relations,[-16.090362548828125]
