preamble,stimulus,is_correct,subject,stimulus_prob
"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true? (A) k = 0 and n = 1 (B) k = n = 1 (C) k = 1 and n = 0 (D) k > 1. Of the answer choices above, answer (A) is the",best,0,college_mathematics,[-13.860177993774414]
"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true? (A) k = 0 and n = 1 (B) k = n = 1 (C) k = 1 and n = 0 (D) k > 1. Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-13.860177993774414]
"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true? (A) k = 0 and n = 1 (B) k = n = 1 (C) k = 1 and n = 0 (D) k > 1. Of the answer choices above, answer (C) is the",best,1,college_mathematics,[-13.860177993774414]
"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true? (A) k = 0 and n = 1 (B) k = n = 1 (C) k = 1 and n = 0 (D) k > 1. Of the answer choices above, answer (D) is the",best,0,college_mathematics,[-13.860177993774414]
"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ? (A) 0 (B) 1 (C) 2 (D) 3. Of the answer choices above, answer (A) is the",best,0,college_mathematics,[-15.296263694763184]
"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ? (A) 0 (B) 1 (C) 2 (D) 3. Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-15.296263694763184]
"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ? (A) 0 (B) 1 (C) 2 (D) 3. Of the answer choices above, answer (C) is the",best,0,college_mathematics,[-15.296263694763184]
"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ? (A) 0 (B) 1 (C) 2 (D) 3. Of the answer choices above, answer (D) is the",best,1,college_mathematics,[-15.296263694763184]
"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D? (A) n = 2 and r = 6 (B) n = 1 and r = 6 (C) n = 1 and r = 7 (D) n = 2 and r = 5. Of the answer choices above, answer (A) is the",best,1,college_mathematics,[-1.1110267639160156]
"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D? (A) n = 2 and r = 6 (B) n = 1 and r = 6 (C) n = 1 and r = 7 (D) n = 2 and r = 5. Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-1.1275863647460938]
"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D? (A) n = 2 and r = 6 (B) n = 1 and r = 6 (C) n = 1 and r = 7 (D) n = 2 and r = 5. Of the answer choices above, answer (C) is the",best,0,college_mathematics,[-1.3111591339111328]
"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D? (A) n = 2 and r = 6 (B) n = 1 and r = 6 (C) n = 1 and r = 7 (D) n = 2 and r = 5. Of the answer choices above, answer (D) is the",best,0,college_mathematics,[-1.4405746459960938]
"The shortest distance from the curve xy = 8 to the origin is (A) 8 (B) 16 (C) 4 (D) 2sqrt(2). Of the answer choices above, answer (A) is the",best,0,college_mathematics,[-17.000747680664062]
"The shortest distance from the curve xy = 8 to the origin is (A) 8 (B) 16 (C) 4 (D) 2sqrt(2). Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-17.024608612060547]
"The shortest distance from the curve xy = 8 to the origin is (A) 8 (B) 16 (C) 4 (D) 2sqrt(2). Of the answer choices above, answer (C) is the",best,1,college_mathematics,[-17.04363250732422]
"The shortest distance from the curve xy = 8 to the origin is (A) 8 (B) 16 (C) 4 (D) 2sqrt(2). Of the answer choices above, answer (D) is the",best,0,college_mathematics,[-17.04166030883789]
"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged? (A) 2/23 (B) 2/69 (C) 1/30 (D) 12/125. Of the answer choices above, answer (A) is the",best,1,college_mathematics,[-8.048487663269043]
"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged? (A) 2/23 (B) 2/69 (C) 1/30 (D) 12/125. Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-8.048487663269043]
"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged? (A) 2/23 (B) 2/69 (C) 1/30 (D) 12/125. Of the answer choices above, answer (C) is the",best,0,college_mathematics,[-8.048487663269043]
"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged? (A) 2/23 (B) 2/69 (C) 1/30 (D) 12/125. Of the answer choices above, answer (D) is the",best,0,college_mathematics,[-8.048487663269043]
"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE? (A) (S, +, x) has no identity under multiplication modulo 10. (B) (S, +, x) is closed under addition modulo 10. (C) (S, +, x) is closed under multiplication modulo 10. (D) (S, +, x) has an identity under addition modulo 10.. Of the answer choices above, answer (A) is the",best,1,college_mathematics,[-2.5061817169189453]
"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE? (A) (S, +, x) has no identity under multiplication modulo 10. (B) (S, +, x) is closed under addition modulo 10. (C) (S, +, x) is closed under multiplication modulo 10. (D) (S, +, x) has an identity under addition modulo 10.. Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-2.4337873458862305]
"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE? (A) (S, +, x) has no identity under multiplication modulo 10. (B) (S, +, x) is closed under addition modulo 10. (C) (S, +, x) is closed under multiplication modulo 10. (D) (S, +, x) has an identity under addition modulo 10.. Of the answer choices above, answer (C) is the",best,0,college_mathematics,[-2.467153549194336]
"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE? (A) (S, +, x) has no identity under multiplication modulo 10. (B) (S, +, x) is closed under addition modulo 10. (C) (S, +, x) is closed under multiplication modulo 10. (D) (S, +, x) has an identity under addition modulo 10.. Of the answer choices above, answer (D) is the",best,0,college_mathematics,[-2.7230472564697266]
"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground? (A) 12*sqrt(2) (B) 6*sqrt(2) (C) 4*sqrt(2) (D) 1/(2*sqrt(2)). Of the answer choices above, answer (A) is the",best,0,college_mathematics,[-21.209997177124023]
"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground? (A) 12*sqrt(2) (B) 6*sqrt(2) (C) 4*sqrt(2) (D) 1/(2*sqrt(2)). Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-21.209997177124023]
"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground? (A) 12*sqrt(2) (B) 6*sqrt(2) (C) 4*sqrt(2) (D) 1/(2*sqrt(2)). Of the answer choices above, answer (C) is the",best,1,college_mathematics,[-21.209997177124023]
"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground? (A) 12*sqrt(2) (B) 6*sqrt(2) (C) 4*sqrt(2) (D) 1/(2*sqrt(2)). Of the answer choices above, answer (D) is the",best,0,college_mathematics,[-21.209997177124023]
"Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle? (A) 0 (B) 10% (C) 50% (D) 25%. Of the answer choices above, answer (A) is the",best,0,college_mathematics,[-14.92445182800293]
"Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle? (A) 0 (B) 10% (C) 50% (D) 25%. Of the answer choices above, answer (B) is the",best,0,college_mathematics,[-14.92445182800293]
"Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle? (A) 0 (B) 10% (C) 50% (D) 25%. Of the answer choices above, answer (C) is the",best,0,college_mathematics,[-14.92445182800293]
"Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle? (A) 0 (B) 10% (C) 50% (D) 25%. Of the answer choices above, answer (D) is the",best,1,college_mathematics,[-14.92445182800293]
