preamble,stimulus,is_correct,subject,stimulus_prob
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-2.310150146484375]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.294525146484375]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-1.028900146484375]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.341400146484375]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.7228279113769531]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-0.9572029113769531]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-1.4415779113769531]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.6603279113769531]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 62% (C) 72% (D) 82%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.8020133972167969]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 62% (C) 72% (D) 82%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.0676383972167969]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 62% (C) 72% (D) 82%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-1.3957633972167969]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 62% (C) 72% (D) 82%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.4426383972167969]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) Germany (C) China (D) Japan. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-2.2668838500976562]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) Germany (C) China (D) Japan. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-0.8918838500976562]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) Germany (C) China (D) Japan. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-1.0325088500976562]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) Germany (C) China (D) Japan. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.0793838500976562]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 15 fold (D) by 20 fold. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.752054214477539]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 15 fold (D) by 20 fold. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.486429214477539]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 15 fold (D) by 20 fold. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-1.205179214477539]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 15 fold (D) by 20 fold. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.252054214477539]
