preamble,stimulus,is_correct,subject,stimulus_prob
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) False, True (B) True, True (C) False, False (D) True, False. Of the answer choices above, answer (A) is the",best,1,machine_learning,[-11.12856674194336]
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) False, True (B) True, True (C) False, False (D) True, False. Of the answer choices above, answer (B) is the",best,0,machine_learning,[-11.12856674194336]
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) False, True (B) True, True (C) False, False (D) True, False. Of the answer choices above, answer (C) is the",best,0,machine_learning,[-11.12856674194336]
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) False, True (B) True, True (C) False, False (D) True, False. Of the answer choices above, answer (D) is the",best,0,machine_learning,[-11.12856674194336]
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) True, False (C) False, False (D) False, True. Of the answer choices above, answer (A) is the",best,0,machine_learning,[-9.23215389251709]
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) True, False (C) False, False (D) False, True. Of the answer choices above, answer (B) is the",best,1,machine_learning,[-9.23215389251709]
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) True, False (C) False, False (D) False, True. Of the answer choices above, answer (C) is the",best,0,machine_learning,[-9.23215389251709]
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) True, False (C) False, False (D) False, True. Of the answer choices above, answer (D) is the",best,0,machine_learning,[-9.23215389251709]
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. (A) True, True (B) False, False (C) True, False (D) False, True. Of the answer choices above, answer (A) is the",best,0,machine_learning,[-2.2867631912231445]
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. (A) True, True (B) False, False (C) True, False (D) False, True. Of the answer choices above, answer (B) is the",best,1,machine_learning,[-2.417506217956543]
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. (A) True, True (B) False, False (C) True, False (D) False, True. Of the answer choices above, answer (C) is the",best,0,machine_learning,[-2.2702674865722656]
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. (A) True, True (B) False, False (C) True, False (D) False, True. Of the answer choices above, answer (D) is the",best,0,machine_learning,[-2.2171878814697266]
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there? (A) 12 (B) 72 (C) 24 (D) 48. Of the answer choices above, answer (A) is the",best,0,machine_learning,[-12.925405502319336]
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there? (A) 12 (B) 72 (C) 24 (D) 48. Of the answer choices above, answer (B) is the",best,1,machine_learning,[-12.925405502319336]
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there? (A) 12 (B) 72 (C) 24 (D) 48. Of the answer choices above, answer (C) is the",best,0,machine_learning,[-12.925405502319336]
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there? (A) 12 (B) 72 (C) 24 (D) 48. Of the answer choices above, answer (D) is the",best,0,machine_learning,[-12.925405502319336]
"As of 2020, which architecture is best for classifying high-resolution images? (A) graph networks (B) fully connected networks (C) RBF networks (D) convolutional networks. Of the answer choices above, answer (A) is the",best,0,machine_learning,[-13.476044654846191]
