preamble,stimulus,is_correct,subject,stimulus_prob
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-8.449403762817383]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-8.105653762817383]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-7.871278762817383]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-8.300966262817383]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-7.291389465332031]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-7.767951965332031]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-7.596076965332031]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-7.486701965332031]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-8.278863906860352]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-8.294488906860352]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-8.263238906860352]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-8.403863906860352]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-7.861215591430664]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-7.900278091430664]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-7.736215591430664]
