preamble,stimulus,is_correct,subject,stimulus_prob
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate? (A) 0.005 C (B) 0.01 C (C) 0.02 C (D) 0.5 C. Of the answer choices above, answer (A) is the",best,0,high_school_physics,[-1.5785560607910156]
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate? (A) 0.005 C (B) 0.01 C (C) 0.02 C (D) 0.5 C. Of the answer choices above, answer (B) is the",best,1,high_school_physics,[-1.4627876281738281]
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate? (A) 0.005 C (B) 0.01 C (C) 0.02 C (D) 0.5 C. Of the answer choices above, answer (C) is the",best,0,high_school_physics,[-1.4207954406738281]
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate? (A) 0.005 C (B) 0.01 C (C) 0.02 C (D) 0.5 C. Of the answer choices above, answer (D) is the",best,0,high_school_physics,[-1.8626174926757812]
"Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields? (A) the electric field produced by an infinitely long charged cylinder (B) the electric field produced by a finite-length charged rod (C) the electric field produced by an infinite plane of charge (D) the magnetic field produced by an infinitely long, straight current-carrying wire. Of the answer choices above, answer (A) is the",best,0,high_school_physics,[-3.2099571228027344]
"Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields? (A) the electric field produced by an infinitely long charged cylinder (B) the electric field produced by a finite-length charged rod (C) the electric field produced by an infinite plane of charge (D) the magnetic field produced by an infinitely long, straight current-carrying wire. Of the answer choices above, answer (B) is the",best,1,high_school_physics,[-2.8567752838134766]
"Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields? (A) the electric field produced by an infinitely long charged cylinder (B) the electric field produced by a finite-length charged rod (C) the electric field produced by an infinite plane of charge (D) the magnetic field produced by an infinitely long, straight current-carrying wire. Of the answer choices above, answer (C) is the",best,0,high_school_physics,[-2.910768508911133]
"Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields? (A) the electric field produced by an infinitely long charged cylinder (B) the electric field produced by a finite-length charged rod (C) the electric field produced by an infinite plane of charge (D) the magnetic field produced by an infinitely long, straight current-carrying wire. Of the answer choices above, answer (D) is the",best,0,high_school_physics,[-3.117321014404297]
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the (A) electric field outside the object is zero (B) the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space (C) the electric field outside the object is equal to the electric field inside the object (D) the electric field outside the object is directly proportional to the distance away from the center of mass of the object. Of the answer choices above, answer (A) is the",best,0,high_school_physics,[-1.4408988952636719]
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the (A) electric field outside the object is zero (B) the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space (C) the electric field outside the object is equal to the electric field inside the object (D) the electric field outside the object is directly proportional to the distance away from the center of mass of the object. Of the answer choices above, answer (B) is the",best,1,high_school_physics,[-1.4671363830566406]
