preamble,stimulus,is_correct,subject,stimulus_prob
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) P(t > 1.54) with df = 7 (C) 2P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 6. Of the answer choices above, answer (A) is the",best,0,high_school_statistics,[-1.8911075592041016]
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) P(t > 1.54) with df = 7 (C) 2P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 6. Of the answer choices above, answer (B) is the",best,0,high_school_statistics,[-2.0698394775390625]
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) P(t > 1.54) with df = 7 (C) 2P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 6. Of the answer choices above, answer (C) is the",best,0,high_school_statistics,[-1.972116470336914]
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test? (A) P(t > 1.54) with df = 6 (B) P(t > 1.54) with df = 7 (C) 2P(t > 1.54) with df = 7 (D) 2P(t > 1.54) with df = 6. Of the answer choices above, answer (D) is the",best,1,high_school_statistics,[-2.1177330017089844]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 31.7 to 39.3 minutes (C) 25.3 to 35 minutes (D) 25.3 to 44.7 minutes. Of the answer choices above, answer (A) is the",best,0,high_school_statistics,[-2.925121307373047]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 31.7 to 39.3 minutes (C) 25.3 to 35 minutes (D) 25.3 to 44.7 minutes. Of the answer choices above, answer (B) is the",best,0,high_school_statistics,[-2.616008758544922]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 31.7 to 39.3 minutes (C) 25.3 to 35 minutes (D) 25.3 to 44.7 minutes. Of the answer choices above, answer (C) is the",best,0,high_school_statistics,[-2.665142059326172]
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders? (A) 0 to 31.7 minutes (B) 31.7 to 39.3 minutes (C) 25.3 to 35 minutes (D) 25.3 to 44.7 minutes. Of the answer choices above, answer (D) is the",best,1,high_school_statistics,[-2.6213855743408203]
"All of the following statements are true for all discrete random variables except for which one? (A) The possible outcomes must all be numerical. (B) The possible outcomes must be mutually exclusive. (C) The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability. (D) Approximately 95% of the outcomes will be within two standard deviations of the mean.. Of the answer choices above, answer (A) is the",best,0,high_school_statistics,[-2.592123031616211]
"All of the following statements are true for all discrete random variables except for which one? (A) The possible outcomes must all be numerical. (B) The possible outcomes must be mutually exclusive. (C) The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability. (D) Approximately 95% of the outcomes will be within two standard deviations of the mean.. Of the answer choices above, answer (B) is the",best,0,high_school_statistics,[-2.951913833618164]
