preamble,stimulus,is_correct,subject,stimulus_prob
"The access matrix approach to protection has the difficulty that (A) the matrix, if stored directly, is large and can be clumsy to manage (B) it is not capable of expressing complex protection requirements (C) deciding whether a process has access to a resource is undecidable and (D) there is no way to express who has rights to change the access matrix itself. Of the answer choices above, answer (A) is the",best,1,college_computer_science,[-3.363859176635742]
"The access matrix approach to protection has the difficulty that (A) the matrix, if stored directly, is large and can be clumsy to manage (B) it is not capable of expressing complex protection requirements (C) deciding whether a process has access to a resource is undecidable and (D) there is no way to express who has rights to change the access matrix itself. Of the answer choices above, answer (B) is the",best,0,college_computer_science,[-3.0762195587158203]
"The access matrix approach to protection has the difficulty that (A) the matrix, if stored directly, is large and can be clumsy to manage (B) it is not capable of expressing complex protection requirements (C) deciding whether a process has access to a resource is undecidable and (D) there is no way to express who has rights to change the access matrix itself. Of the answer choices above, answer (C) is the",best,0,college_computer_science,[-3.153156280517578]
"The access matrix approach to protection has the difficulty that (A) the matrix, if stored directly, is large and can be clumsy to manage (B) it is not capable of expressing complex protection requirements (C) deciding whether a process has access to a resource is undecidable and (D) there is no way to express who has rights to change the access matrix itself. Of the answer choices above, answer (D) is the",best,0,college_computer_science,[-3.6343860626220703]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} and (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-3.4197444915771484]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} and (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, answer (B) is the",best,0,college_computer_science,[-3.6180896759033203]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} and (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, answer (C) is the",best,1,college_computer_science,[-3.6540565490722656]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} and (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, answer (D) is the",best,0,college_computer_science,[-3.866771697998047]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:4 (B) 1:3.5 (C) 1:1 and (D) 1.1:1. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-1.2836475372314453]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:4 (B) 1:3.5 (C) 1:1 and (D) 1.1:1. Of the answer choices above, answer (B) is the",best,1,college_computer_science,[-1.2294425964355469]
